merge_date,market_avg_net_pnl,market_win_rate,classification,value
2023-05-01,0.0,0.0,Greed,63.0
2023-12-05,0.0,0.0,Extreme Greed,75.0
2023-12-14,-205.43473700000007,0.36363636363636365,Greed,72.0
2023-12-15,-24.632033999999997,0.0,Greed,70.0
2023-12-16,0.0,0.0,Greed,67.0
2023-12-17,304.982785,0.5,Greed,73.0
2023-12-18,0.0,0.0,Greed,65.0
2023-12-19,1000.5386120000001,0.6666666666666666,Greed,73.0
2023-12-20,162.732282,0.4444444444444444,Greed,74.0
2023-12-21,537.211402,0.5306122448979592,Greed,70.0
2023-12-22,141.832675,0.2,Greed,74.0
2023-12-23,146.936704,0.6153846153846154,Greed,70.0
2023-12-24,1008.619956,0.38461538461538464,Greed,71.0
2023-12-25,-245.081348,0.0,Greed,73.0
2023-12-27,-704.8892269999999,0.14285714285714285,Greed,73.0
2023-12-28,-970.730876,0.0,Greed,73.0
2023-12-29,508.92214299999995,0.3,Greed,65.0
2023-12-30,354.998648,0.4423076923076923,Greed,68.0
2024-01-01,-129.53146,0.05555555555555555,Greed,65.0
2024-01-02,783.979116,0.47058823529411764,Greed,71.0
2024-01-03,866.015507,0.417910447761194,Greed,70.0
2024-01-04,-67.60364,0.0,Greed,68.0
2024-01-05,164.141565,0.19696969696969696,Greed,72.0
2024-01-06,135.58166400000002,0.45454545454545453,Greed,70.0
2024-01-07,-835.681235,0.09278350515463918,Greed,71.0
2024-01-08,-269.874439,0.25,Greed,71.0
2024-01-09,-826.349863,0.2571428571428571,Extreme Greed,76.0
2024-01-10,-1517.091342,0.21243523316062177,Greed,73.0
2024-01-11,-82.04475049999999,0.13157894736842105,Extreme Greed,76.0
2024-01-12,-1925.519024,0.0,Greed,71.0
2024-01-15,76.42679,0.5,Neutral,52.0
2024-01-16,-1149.5857290000001,0.5,Greed,64.0
2024-01-17,813.2741110000001,0.20754716981132076,Greed,60.0
2024-01-18,68.93319,0.06521739130434782,Greed,63.0
2024-01-19,-192.7096175,0.11965811965811965,Neutral,51.0
2024-01-20,-146.57487000000003,0.14150943396226415,Neutral,52.0
2024-01-21,266.58114600000005,0.2727272727272727,Greed,56.0
2024-01-22,687.8204795,0.26745495495495497,Greed,55.0
2024-01-23,-369.2447299999998,0.24444444444444444,Neutral,50.0
2024-01-24,-2808.353815,0.14705882352941177,Neutral,48.0
2024-01-25,-3093.6293849999997,0.0,Neutral,52.0
2024-01-26,45.1,0.25,Neutral,49.0
2024-01-28,-2478.06972,0.0,Neutral,54.0
2024-01-29,243.281271,0.5555555555555556,Greed,55.0
2024-01-30,-173.65419100000003,0.10204081632653061,Greed,61.0
2024-01-31,-799.840817,0.2689173457508731,Greed,60.0
2024-02-01,0.0,0.0,Greed,63.0
2024-02-02,456.423473,0.30952380952380953,Greed,63.0
2024-02-03,223.30918699999998,0.10714285714285714,Greed,60.0
2024-02-04,47.62389499999999,0.2571428571428571,Greed,60.0
2024-02-05,-33.45419400000003,0.19444444444444445,Greed,60.0
2024-02-06,-215.615907,0.1645220588235294,Greed,64.0
2024-02-07,241.24212,0.13333333333333333,Greed,62.0
2024-02-08,770.756024,0.4,Greed,66.0
2024-02-11,983.443176,0.20588235294117646,Greed,71.0
2024-02-12,913.8817869999998,0.375,Greed,70.0
2024-02-13,559.44389,1.0,Extreme Greed,79.0
2024-02-14,1915.2999165,0.5358201581027668,Greed,74.0
2024-02-15,920.3988385,0.8347902097902098,Greed,72.0
2024-02-16,2745.884417,0.4294117647058823,Greed,72.0
2024-02-17,964.8208999999999,0.5385416666666667,Extreme Greed,76.0
2024-02-18,477.6248299999999,0.6288659793814433,Greed,72.0
2024-02-19,2158.8842815000003,0.48333333333333334,Extreme Greed,75.0
2024-02-20,1631.814412,0.8857142857142857,Greed,72.0
2024-02-21,929.3992850000001,0.35714285714285715,Extreme Greed,78.0
2024-02-22,1947.0525349999998,0.23255813953488372,Greed,74.0
2024-02-23,1418.55293,0.958041958041958,Extreme Greed,76.0
2024-02-25,-30.7705,0.0,Greed,74.0
2024-02-26,2208.42365,0.4594594594594595,Greed,72.0
2024-02-27,444.25586649999997,0.6102272727272727,Extreme Greed,79.0
2024-02-28,2503.747235,0.8666666666666667,Extreme Greed,82.0
2024-02-29,4906.998496,0.6592398427260813,Extreme Greed,80.0
2024-03-01,8244.241409,0.9343065693430657,Extreme Greed,80.0
2024-03-02,115.45030000000008,0.4375,Extreme Greed,80.0
2024-03-03,8361.086245,0.6835443037974683,Extreme Greed,83.0
2024-03-04,13899.887871,0.9407665505226481,Extreme Greed,82.0
2024-03-05,19791.026041,0.9055555555555556,Extreme Greed,90.0
